,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1117,3,193,PLA,3,896,A,18,W,404,8.5,60.39,5.13,7,MON,SEP,E,511,10.74,60.47,6.49,17,FRI,SEP
1118,1,197,DN,0,741,A,20,S,232,18.18,50.66,9.21,12,SUN,JUN,S,241,15.04,63.59,9.56,16,SUN,AUG
1119,6,198,FRE,0,404,A,20,W,51,11.71,52.04,6.09,12,SAT,SEP,E,59,11.11,63.44,7.05,17,FRI,SEP
1120,6,198,FRE,21.19,128,B,20,W,56,8.16,78.87,6.44,5,MON,SEP,E,62,11.26,63.27,7.13,13,SAT,SEP
1121,6,198,FRE,22.66,43,A,20,W,105,8.17,68.18,5.57,8,WED,DEC,E,111,10.4,56.63,5.89,15,THU,MAR
1122,6,198,KIN,3.011,131,A,20,W,1153,9.44,83.86,7.92,6,TUE,MAR,E,1315,11.13,81.12,9.03,16,WED,OCT
1123,6,198,KIN,3.011,130,B,20,W,295,8.23,71.26,5.87,6,TUE,JAN,E,378,12.53,60,7.52,16,FRI,OCT
1124,6,198,KIN,8.897,36,B,20,W,1613,10.95,74.33,8.14,7,WED,OCT,E,1838,11.89,78.01,9.27,16,MON,OCT
1125,6,198,KIN,8.897,441,A,20,W,1449,9.46,68.41,6.47,7,THU,OCT,E,1746,10.5,74.3,7.8,16,TUE,OCT
1126,6,198,KIN,10.561,629,B,20,W,1491,9.26,63.94,5.92,7,WED,OCT,E,1721,10.35,65.99,6.83,16,THU,FEB
1127,6,198,KIN,15.745,232,B,20,W,1658,7.75,54.63,4.23,7,TUE,DEC,E,2192,9.62,58.16,5.6,16,TUE,OCT
1128,6,198,KIN,16.91,198,B,20,W,1556,7.69,54.31,4.18,12,MON,AUG,E,2040,10.31,53.13,5.48,16,THU,NOV
1129,6,198,KIN,20.975,427,A,20,W,1661,9.78,56.57,5.54,7,THU,MAR,E,1710,10.26,55.52,5.7,17,WED,DEC
1130,6,198,KIN,20.98,39,B,20,W,1551,9.47,61.3,5.8,7,THU,OCT,E,1524,10.52,54.22,5.7,17,THU,OCT
1131,6,198,TUL,3.711,29,B,20,W,1733,9.83,59.43,5.84,7,WED,OCT,E,1765,10.27,57.95,5.95,17,WED,NOV
1132,6,198,TUL,3.711,199,A,20,E,2993,10.74,50.04,5.37,7,THU,OCT,E,3290,10.84,54.5,5.91,17,TUE,FEB
1133,6,198,TUL,4.796,610,A,20,W,3308,10.12,55.34,5.6,7,THU,DEC,E,3574,10.65,56.79,6.05,17,WED,DEC
1134,6,198,TUL,7.76,668,B,20,W,3624,10.77,54.46,5.86,7,WED,OCT,E,3745,10.89,55.63,6.06,17,WED,NOV
1135,6,198,TUL,8.753,133,B,20,W,3566,10.48,52.32,5.49,7,THU,JAN,E,3696,10.73,52.99,5.69,16,WED,JAN
1136,6,198,TUL,18.761,134,B,18,W,1171,9.13,55.24,5.04,7,WED,JAN,E,1134,8.78,55.64,4.88,16,FRI,MAR
1137,6,198,TUL,19.762,18,A,20,E,512,11.49,63.37,7.28,12,SAT,JUL,E,532,12.64,59.84,7.56,13,SUN,JUL
1138,6,198,TUL,27.96,630,A,20,E,567,16.35,75,12.26,10,SAT,AUG,W,589,19.14,66.55,12.74,16,SAT,SEP
1139,6,198,TUL,27.96,408,B,20,E,467,15.86,61.29,9.72,11,SUN,JUL,W,538,15.48,72.31,11.2,16,SUN,JUL
1140,6,198,TUL,42.35,135,A,20,E,327,18.29,89.34,16.34,10,SAT,JUL,W,324,17.59,92.05,16.19,17,SAT,JAN
1141,1,199,DN,4.16,730,B,20,S,314,17.6,50.56,8.9,12,SUN,JUL,N,325,16.5,55.84,9.21,15,SUN,JUL
1142,1,199,DN,4.404,731,A,20,S,491,16.07,59.44,9.55,11,SAT,SEP,N,492,18.07,52.96,9.57,13,SUN,AUG
1143,1,200,HUM,0,791,A,20,W,113,7.84,62.43,4.89,8,THU,OCT,W,142,10.95,56.13,6.15,16,WED,OCT
1144,6,201,FRE,0,136,A,20,W,521,8.11,52,4.22,12,FRI,NOV,E,603,7.24,67.37,4.88,17,SUN,MAY
1145,6,201,TUL,1.4,654,A,20,E,243,7.42,56.78,4.21,12,SUN,NOV,E,340,10.98,53.63,5.89,15,FRI,NOV
1146,6,201,TUL,13.97,27,B,20,E,115,18.13,56.1,10.17,5,WED,JUN,E,88,12.56,61.97,7.78,16,TUE,DEC
1147,6,201,TUL,13.98,26,A,20,W,287,8.74,60.81,5.32,7,FRI,MAR,E,330,11.1,55.09,6.11,16,THU,DEC
1148,6,201,TUL,23.957,137,B,20,E,85,8.54,68.55,5.85,11,SUN,JUL,W,95,9.78,66.9,6.54,13,SAT,OCT
1149,9,202,KER,2.16,922,A,20,W,464,6.92,74.6,5.16,5,MON,JUN,E,629,12.46,56.16,7,15,WED,DEC
1150,9,202,KER,5.5,968,A,20,E,1172,13.96,85.36,11.91,5,MON,DEC,E,918,10.57,88.27,9.33,21,SUN,DEC
1151,9,202,KER,8.87,606,B,19,W,698,7.76,60.07,4.66,12,MON,APR,W,842,9.17,61.37,5.63,16,THU,OCT
1152,9,202,KER,12.008,932,B,20,E,727,7.17,74.49,5.34,6,WED,DEC,W,898,10.5,62.84,6.6,16,WED,DEC
1153,9,203,MNO,4.47,959,B,20,E,528,14.18,92.79,13.16,8,SAT,FEB,W,605,17.97,83.91,15.08,17,FRI,JAN
1154,9,203,MNO,4.782,107,A,20,E,693,13.77,55,7.57,11,SUN,AUG,E,779,11.61,73.35,8.51,14,SUN,DEC
1155,9,203,MNO,6.866,108,B,20,E,680,15.25,62.85,9.58,11,SUN,AUG,W,576,13.49,60.19,8.12,15,SAT,AUG
1156,9,203,MNO,8.56,921,B,20,E,859,12.42,81.65,10.14,10,SUN,FEB,W,714,14.37,58.67,8.43,15,FRI,JUL
1157,6,204,KER,2.069,139,A,18,N,1360,6.71,63.7,4.28,7,TUE,SEP,S,1431,9,50.02,4.5,16,FRI,DEC
1158,6,204,KER,6.258,204,B,18,S,2304,9.31,58.39,5.44,7,THU,SEP,N,2190,8.99,57.48,5.17,17,TUE,SEP
1159,6,204,KER,6.752,141,B,18,S,2074,10.2,67.19,6.85,7,THU,SEP,S,1641,9.4,57.68,5.42,15,TUE,SEP
1160,4,205,ALA,0.214,251,A,20,E,5119,7.78,53.92,4.2,12,SAT,NOV,E,5812,6.94,68.68,4.76,14,TUE,NOV
1161,10,205,SJ,0,76,A,19,E,4850,7.35,50.24,3.69,12,SAT,MAR,E,5134,5.87,66.65,3.91,17,THU,APR
