,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
994,3,162,GLE,64.88,925,A,22,W,160,9.84,61.54,6.05,7,FRI,MAY,E,175,9.31,71.14,6.62,17,SUN,MAY
995,3,162,GLE,66.632,850,B,22,E,186,9.4,64.36,6.05,12,WED,DEC,E,220,9.56,74.83,7.16,15,THU,MAR
996,3,162,GLE,76.27,852,B,22,W,165,8.5,76.74,6.52,7,TUE,MAY,W,175,11.3,61.19,6.92,15,MON,SEP
997,3,162,GLE,84.59,854,O,22,W,114,9.73,59.07,5.75,12,FRI,NOV,W,145,11.85,61.7,7.31,15,FRI,NOV
998,3,162,BUT,0,854,O,22,W,114,9.73,59.07,5.75,12,FRI,NOV,W,145,11.85,61.7,7.31,15,FRI,NOV
999,3,162,BUT,9.726,856,B,22,W,93,10.1,73.81,7.46,6,TUE,APR,W,84,10.59,63.64,6.74,17,FRI,OCT
1000,3,162,BUT,9.726,857,A,22,E,132,6.99,59.73,4.17,7,TUE,AUG,E,166,10.03,52.37,5.25,15,FRI,JUL
1001,3,162,BUT,22.899,768,B,22,W,300,6.92,75.38,5.21,7,WED,MAR,W,418,11.21,64.81,7.26,16,MON,NOV
1002,3,162,BUT,22.899,769,A,22,E,345,9.97,71.58,7.13,6,FRI,OCT,W,467,13.71,70.44,9.66,16,TUE,NOV
1003,11,163,SD,2.49,933,A,22,N,3617,7.39,53.34,3.94,8,WED,SEP,S,3499,7.1,53.67,3.81,17,THU,SEP
1004,11,163,SD,4.371,957,A,22,N,6595,7.99,51.25,4.09,8,WED,SEP,S,7007,8.18,53.13,4.35,15,THU,SEP
1005,11,163,SD,11.662,921,B,22,S,6479,8.21,68.16,5.6,8,THU,NOV,S,6581,9.93,57.24,5.68,15,FRI,JUN
