,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1170,6,223,KER,16.014,224,B,21,W,343,6.41,66.22,4.24,11,SUN,SEP,W,400,9,55.02,4.95,16,MON,SEP
1171,6,223,KER,20.911,147,B,21,E,439,7.94,56.94,4.52,12,SAT,SEP,E,480,8.68,56.94,4.94,16,FRI,MAR
1172,6,223,KER,31.92,148,B,21,E,127,11.15,63.5,7.08,11,MON,JUN,E,123,11.6,59.14,6.86,14,FRI,SEP
1173,5,227,SLO,7.12,148,A,21,N,896,9.62,73.2,7.04,7,FRI,SEP,S,1208,12.88,73.7,9.5,16,TUE,JUL
1174,4,237,SCL,6.866,495,B,19,W,5252,7.42,59.87,4.44,7,WED,APR,E,4962,6.83,61.49,4.2,14,THU,OCT
1175,4,237,SCL,9.335,216,B,19,E,4875,4.55,88.83,4.04,5,TUE,JUL,W,6730,8.42,66.23,5.58,17,WED,JUL
1176,12,241,ORA,14.601,934,A,21,S,531,9.33,71.18,6.64,8,FRI,AUG,S,819,12.31,83.15,10.24,17,WED,AUG
1177,12,241,ORA,20.077,921,A,21,N,1739,12.24,64.91,7.94,7,TUE,AUG,S,1618,11.79,62.69,7.39,17,TUE,AUG
1178,12,241,ORA,27.378,922,B,21,S,1266,11.71,69.56,8.15,8,THU,AUG,S,853,8.55,64.23,5.49,15,SAT,JUL
1179,12,241,ORA,32.541,924,A,21,S,3498,10.84,68.41,7.42,7,TUE,JUL,N,4037,11.83,72.35,8.56,13,FRI,JUL
1180,6,245,TUL,0,87,A,20,S,160,8.5,55.56,4.72,7,TUE,JAN,N,210,9.71,63.83,6.19,17,THU,OCT
1181,6,245,TUL,7.066,88,A,20,N,288,7.93,58.54,4.64,7,FRI,OCT,N,379,11.37,53.68,6.1,15,FRI,JAN
1182,6,245,TUL,7.066,406,B,20,N,243,7.94,60.15,4.78,7,THU,OCT,N,310,11.32,53.82,6.09,15,WED,OCT
1183,6,245,TUL,11.999,89,A,20,S,42,12.04,58.33,7.02,12,SAT,OCT,S,45,11.71,64.29,7.53,15,TUE,OCT
1184,6,245,TUL,11.999,407,B,20,S,61,9.65,59.8,5.77,12,SAT,OCT,N,71,11.16,60.17,6.72,13,SAT,OCT
1185,6,245,FRE,8.971,304,B,20,N,35,24.31,79.55,19.34,10,SAT,OCT,S,33,20.44,89.19,18.23,16,THU,JUL
1186,5,246,SB,9.55,203,B,21,W,551,8.72,55.16,4.81,11,SAT,JUL,W,718,10.93,57.39,6.27,16,WED,MAR
1187,8,247,SBD,45.112,990,A,21,N,190,9.14,66.67,6.09,12,MON,SEP,N,231,12.25,60.47,7.41,13,WED,SEP
1188,8,247,SBD,78.096,247,B,21,S,723,9.19,50.14,4.61,12,WED,SEP,N,896,9.41,60.71,5.71,16,MON,SEP
1189,1,253,MEN,0,766,A,20,E,103,9.69,58.19,5.64,12,SUN,JUL,W,121,12.05,55,6.63,16,FRI,OCT
1190,1,253,MEN,17.18,762,B,21,E,159,8.41,59.11,4.97,12,WED,MAY,W,182,10.31,55.15,5.69,15,FRI,MAY
1191,1,255,HUM,2,515,O,21,S,530,9.28,72.5,6.73,12,SAT,MAR,S,615,11.56,67.51,7.81,15,FRI,JAN
1192,1,255,HUM,8.75,805,A,21,S,759,9.64,56.77,5.47,12,FRI,MAY,S,850,11.37,53.9,6.13,16,WED,SEP
1193,12,261,ORA,0,938,A,21,S,1662,14.96,91.07,13.62,8,MON,AUG,N,1436,16.24,72.49,11.77,17,THU,AUG
1194,2,263,SIS,49.07,180,A,20,S,102,9.77,56.35,5.5,11,TUE,MAY,N,113,11.12,54.85,6.1,13,FRI,MAY
1195,2,265,SIS,20.328,185,B,20,S,85,9.77,56.29,5.5,12,TUE,AUG,N,92,11.26,52.87,5.95,15,THU,AUG
1196,9,266,MNO,0,977,A,21,S,30,19.77,58.82,11.63,11,SAT,AUG,S,30,20.93,55.56,11.63,13,MON,JUL
1197,9,266,MNO,4.3,985,A,21,N,20,17.47,68.97,12.05,12,FRI,JUL,S,19,19.28,59.38,11.45,13,MON,AUG
